Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,,,SELMA,AL,36701,DALLAS,3344184100,13%,16%,71%,8%,13%,79%,23%,22%,55%,20%,18%,62%,24%,15%,61%,15%,19%,66%,12%,21%,67%,79%,21%,13%,27%,60%,10%,33%,57%,300 or more,20%,
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,,,MONROEVILLE,AL,36461,MONROE,2515753111,5%,11%,84%,1%,10%,89%,10%,19%,71%,6%,17%,77%,21%,19%,60%,12%,21%,67%,5%,24%,71%,87%,13%,9%,24%,67%,7%,23%,70%,Between 100 and 299,29%,
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,,,HALEYVILLE,AL,35565,WINSTON,2054857117,4%,16%,80%,4%,16%,80%,8%,22%,70%,5%,25%,70%,17%,23%,60%,7%,18%,75%,6%,21%,73%,81%,19%,7%,29%,64%,7%,31%,62%,300 or more,29%,
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,,TROY,AL,36081,PIKE,3346705000,9%,16%,75%,7%,12%,81%,17%,25%,58%,11%,21%,68%,28%,18%,54%,16%,22%,62%,9%,26%,65%,77%,23%,10%,31%,59%,9%,33%,58%,Between 100 and 299,27%,
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,,JACKSON,AL,36545,CLARKE,2512469021,2%,15%,83%,0%,10%,90%,7%,23%,70%,3%,20%,77%,16%,19%,65%,10%,20%,70%,5%,25%,70%,86%,14%,5%,28%,67%,2%,31%,67%,Between 100 and 299,26%,
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,,,BAY MINETTE,AL,36507,BALDWIN,2519375521,3%,13%,84%,1%,9%,90%,6%,18%,76%,6%,22%,72%,18%,14%,68%,6%,13%,81%,4%,26%,70%,83%,17%,4%,18%,78%,3%,16%,81%,Between 100 and 299,28%,
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,,,PELL CITY,AL,35125,SAINT CLAIR,2053383301,2%,13%,85%,1%,8%,91%,4%,18%,78%,2%,14%,84%,14%,14%,72%,8%,19%,73%,5%,19%,76%,84%,16%,4%,23%,73%,3%,28%,69%,300 or more,29%,
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,,HUNTSVILLE,AL,35801,MADISON,2568823100,6%,18%,76%,3%,12%,85%,13%,27%,60%,8%,21%,71%,23%,16%,61%,14%,20%,66%,7%,26%,67%,82%,18%,6%,22%,72%,5%,18%,77%,300 or more,32%,
010137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,,,BIRMINGHAM,AL,35233,JEFFERSON,2059303200,9%,17%,74%,2%,11%,87%,16%,21%,63%,8%,19%,73%,27%,15%,58%,12%,18%,70%,8%,26%,66%,78%,22%,5%,29%,66%,3%,33%,64%,300 or more,30%,
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,,YORK,AL,36925,SUMTER,2053925263,5%,19%,76%,0%,17%,83%,1%,24%,75%,7%,7%,86%,8%,4%,88%,28%,1%,71%,21%,32%,47%,68%,32%,34%,3%,63%,28%,13%,59%,Fewer than 100,15%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,,,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,5%,18%,77%,2%,13%,85%,14%,26%,60%,5%,21%,74%,21%,16%,63%,14%,24%,62%,8%,27%,65%,83%,17%,8%,23%,69%,5%,21%,74%,300 or more,35%,
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,,MOBILE,AL,36608,MOBILE,2513449630,6%,19%,75%,4%,15%,81%,13%,23%,64%,7%,23%,70%,25%,17%,58%,15%,24%,61%,10%,24%,66%,80%,20%,10%,21%,69%,6%,22%,72%,300 or more,30%,
010146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,,,JACKSONVILLE,AL,36265,CALHOUN,2567824538,5%,16%,79%,1%,11%,88%,6%,21%,73%,8%,20%,72%,13%,20%,67%,9%,23%,68%,6%,29%,65%,87%,13%,8%,20%,72%,4%,24%,72%,Between 100 and 299,26%,
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,,EVERGREEN,AL,36401,CONECUH,2515782480,7%,15%,78%,2%,8%,90%,16%,21%,63%,10%,20%,70%,21%,14%,65%,14%,15%,71%,7%,21%,72%,85%,15%,7%,23%,70%,6%,24%,70%,300 or more,31%,
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,7%,17%,76%,3%,13%,84%,15%,24%,61%,8%,22%,70%,21%,17%,62%,17%,20%,63%,7%,25%,68%,81%,19%,8%,22%,70%,5%,22%,73%,300 or more,35%,
010150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,,,GREENVILLE,AL,36037,BUTLER,3343822200,6%,15%,79%,4%,10%,86%,11%,17%,72%,11%,17%,72%,20%,18%,62%,11%,20%,69%,5%,22%,73%,80%,20%,7%,22%,71%,5%,24%,71%,Between 100 and 299,26%,
010152,INFIRMARY WEST,5600 GIRBY RD,,,MOBILE,AL,36693,MOBILE,2516605236,7%,18%,75%,2%,14%,84%,14%,25%,61%,9%,23%,68%,26%,17%,57%,16%,21%,63%,10%,21%,69%,85%,15%,10%,23%,67%,7%,26%,67%,300 or more,30%,
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,,,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,6%,14%,80%,3%,12%,85%,10%,24%,66%,9%,20%,71%,18%,16%,66%,7%,16%,77%,2%,25%,73%,80%,20%,9%,15%,76%,6%,21%,73%,Between 100 and 299,29%,
010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,,,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,9%,18%,73%,4%,11%,85%,15%,23%,62%,10%,25%,65%,22%,14%,64%,15%,19%,66%,9%,23%,68%,81%,19%,10%,25%,65%,7%,30%,63%,300 or more,24%,
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,,SYLACAUGA,AL,35150,TALLADEGA,2562495000,8%,16%,76%,3%,14%,83%,17%,18%,65%,5%,18%,77%,20%,16%,64%,9%,19%,72%,6%,22%,72%,83%,17%,8%,23%,69%,5%,32%,63%,Between 100 and 299,31%,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323000,5%,17%,78%,2%,13%,85%,10%,22%,68%,6%,24%,70%,20%,17%,63%,12%,14%,74%,2%,17%,81%,87%,13%,6%,13%,81%,3%,15%,82%,Between 100 and 299,54%,
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,5%,14%,81%,2%,10%,88%,10%,14%,76%,6%,17%,77%,17%,15%,68%,5%,21%,74%,10%,23%,67%,78%,22%,9%,21%,70%,5%,27%,68%,Between 100 and 299,25%,
011300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,4%,8%,88%,2%,5%,93%,6%,17%,77%,7%,15%,78%,14%,9%,77%,8%,15%,77%,11%,24%,65%,77%,23%,7%,13%,80%,7%,19%,74%,Fewer than 100,37%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,,,RED BAY,AL,35582,FRANKLIN,2563569532,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,,,ANCHORAGE,AK,99519,ANCHORAGE,9072613675,5%,21%,74%,5%,17%,78%,10%,29%,61%,5%,27%,68%,18%,19%,63%,9%,22%,69%,13%,33%,54%,85%,15%,5%,21%,74%,1%,18%,81%,300 or more,30%,
020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,,,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,3%,21%,76%,3%,19%,78%,8%,29%,63%,6%,26%,68%,20%,19%,61%,8%,19%,73%,9%,33%,58%,89%,11%,8%,22%,70%,5%,24%,71%,300 or more,35%,
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,,,JUNEAU,AK,99801,JUNEAU,9077968900,3%,20%,77%,3%,14%,83%,8%,24%,68%,6%,24%,70%,12%,16%,72%,5%,18%,77%,5%,32%,63%,90%,10%,8%,24%,68%,2%,22%,76%,300 or more,25%,
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,,,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,5%,19%,76%,5%,18%,77%,9%,21%,70%,8%,20%,72%,17%,18%,65%,8%,19%,73%,11%,32%,57%,86%,14%,9%,21%,70%,5%,24%,71%,300 or more,26%,
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,,,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,5%,19%,76%,5%,16%,79%,9%,28%,63%,7%,25%,68%,19%,21%,60%,11%,21%,68%,7%,29%,64%,87%,13%,8%,24%,68%,7%,23%,70%,300 or more,40%,
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,,,BETHEL,AK,99559,BETHEL,9075436300,4%,22%,74%,6%,21%,73%,12%,28%,60%,10%,27%,63%,16%,23%,61%,9%,31%,60%,11%,31%,58%,72%,28%,14%,33%,53%,6%,33%,61%,Between 100 and 299,17%,
020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,,,SOLDOTNA,AK,99669,KENAI PENINSULA,9072624404,3%,19%,78%,4%,15%,81%,7%,28%,65%,7%,23%,70%,17%,18%,65%,6%,17%,77%,8%,31%,61%,84%,16%,6%,20%,74%,2%,16%,82%,300 or more,29%,
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,,,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,6%,24%,70%,8%,20%,72%,12%,27%,61%,7%,28%,65%,16%,20%,64%,17%,24%,59%,16%,32%,52%,81%,19%,11%,31%,58%,6%,32%,62%,300 or more,26%,
020027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,,,SITKA,AK,99835,SITKA,9079662411,9%,22%,69%,6%,17%,77%,8%,25%,67%,9%,30%,61%,21%,21%,58%,12%,25%,63%,10%,36%,54%,81%,19%,15%,32%,53%,4%,35%,61%,Between 100 and 299,27%,
021302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",,,SEWARD,AK,99664,KENAI PENINSULA,9072245205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,,,SITKA,AK,99835,SITKA,9077473241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,,,KODIAK,AK,99615,KODIAK ISLAND,9074869592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
021308,NORTON SOUND REGIONAL HOSPITAL,"306 WEST 5TH AVENUE, P O BOX 966",,,NOME,AK,99762,NOME,9074433311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
021311,KETCHIKAN GENERAL HOSPITAL,3100 TONGASS AVENUE,,,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,4%,23%,73%,5%,18%,77%,11%,24%,65%,13%,21%,66%,20%,16%,64%,8%,21%,71%,13%,24%,63%,85%,15%,11%,30%,59%,3%,31%,66%,Between 100 and 299,21%,
021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,,,HOMER,AK,99603,KENAI PENINSULA,9072358101,5%,18%,77%,5%,15%,80%,7%,24%,69%,5%,26%,69%,15%,21%,64%,4%,18%,78%,6%,31%,63%,90%,10%,6%,26%,68%,3%,29%,68%,Between 100 and 299,31%,Survey results are based on less than 12 months of data
030001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,,,PHOENIX,AZ,85031,MARICOPA,6238485000,8%,24%,68%,6%,20%,74%,19%,29%,52%,10%,25%,65%,27%,18%,55%,13%,18%,69%,13%,33%,54%,81%,19%,16%,28%,56%,10%,34%,56%,300 or more,16%,
030002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,,,PHOENIX,AZ,85006,MARICOPA,6022392000,5%,21%,74%,6%,18%,76%,9%,26%,65%,6%,27%,67%,22%,18%,60%,14%,24%,62%,20%,35%,45%,82%,18%,10%,22%,68%,6%,25%,69%,300 or more,23%,
030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,,,TUCSON,AZ,85712,PIMA,5203275461,6%,21%,73%,5%,19%,76%,13%,31%,56%,7%,27%,66%,20%,20%,60%,14%,25%,61%,20%,37%,43%,83%,17%,11%,26%,63%,6%,26%,68%,300 or more,34%,
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,,,COTTONWOOD,AZ,86326,YAVAPAI,9286396000,3%,18%,79%,5%,16%,79%,6%,23%,71%,4%,19%,77%,16%,18%,66%,9%,16%,75%,13%,30%,57%,85%,15%,6%,21%,73%,4%,21%,75%,300 or more,32%,
030010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,,,TUCSON,AZ,85745,PIMA,5208723000,7%,24%,69%,9%,20%,71%,15%,32%,53%,7%,26%,67%,24%,17%,59%,13%,23%,64%,18%,35%,47%,77%,23%,13%,30%,57%,9%,34%,57%,300 or more,34%,
030011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,,,TUCSON,AZ,85711,PIMA,5208733000,7%,25%,68%,5%,21%,74%,11%,33%,56%,9%,24%,67%,20%,20%,60%,11%,21%,68%,18%,34%,48%,81%,19%,12%,26%,62%,5%,25%,70%,300 or more,36%,
030012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,,,PRESCOTT,AZ,86301,YAVAPAI,9284452700,4%,21%,75%,5%,16%,79%,7%,29%,64%,6%,27%,67%,24%,18%,58%,9%,25%,66%,19%,39%,42%,85%,15%,6%,31%,63%,4%,24%,72%,300 or more,38%,
030013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,,,YUMA,AZ,85364,YUMA,9283367275,5%,21%,74%,6%,20%,74%,10%,31%,59%,7%,26%,67%,21%,19%,60%,14%,26%,60%,16%,36%,48%,82%,18%,10%,26%,64%,6%,26%,68%,300 or more,35%,
030014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,,,PHOENIX,AZ,85020,MARICOPA,6028706060,5%,19%,76%,6%,19%,75%,9%,30%,61%,8%,26%,66%,21%,20%,59%,10%,22%,68%,16%,32%,52%,84%,16%,7%,22%,71%,4%,22%,74%,300 or more,30%,There were discrepancies in the data collection process
030016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,,,CASA GRANDE,AZ,85222,PINAL,5203816453,8%,25%,67%,9%,20%,71%,19%,33%,48%,12%,29%,59%,27%,23%,50%,12%,21%,67%,18%,33%,49%,79%,21%,17%,32%,51%,10%,38%,52%,300 or more,22%,
030022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,,,PHOENIX,AZ,85008,MARICOPA,6023445011,7%,26%,67%,8%,21%,71%,14%,34%,52%,7%,28%,65%,25%,24%,51%,9%,25%,66%,23%,41%,36%,79%,21%,10%,31%,59%,6%,33%,61%,300 or more,15%,
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,,,FLAGSTAFF,AZ,86001,COCONINO,9287732009,6%,21%,73%,4%,17%,79%,10%,27%,63%,4%,25%,71%,12%,19%,69%,12%,26%,62%,10%,37%,53%,88%,12%,7%,21%,72%,4%,17%,79%,300 or more,33%,
030024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,,,PHOENIX,AZ,85013,MARICOPA,6024063000,5%,19%,76%,6%,17%,77%,11%,28%,61%,6%,25%,69%,20%,19%,61%,7%,21%,72%,12%,31%,57%,81%,19%,7%,19%,74%,4%,18%,78%,300 or more,21%,
030030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,,,PHOENIX,AZ,85015,MARICOPA,6022490212,8%,22%,70%,9%,19%,72%,16%,29%,55%,10%,25%,65%,26%,20%,54%,9%,21%,70%,13%,34%,53%,77%,23%,14%,26%,60%,10%,26%,64%,300 or more,25%,
030033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,,,PAYSON,AZ,85541,GILA,9284743222,6%,22%,72%,6%,19%,75%,6%,25%,69%,7%,24%,69%,25%,19%,56%,12%,25%,63%,12%,32%,56%,83%,17%,10%,29%,61%,6%,30%,64%,300 or more,30%,
030036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,,,CHANDLER,AZ,85224,MARICOPA,4809634561,5%,21%,74%,7%,21%,72%,10%,30%,60%,7%,26%,67%,22%,19%,59%,8%,23%,69%,10%,34%,56%,85%,15%,8%,24%,68%,5%,22%,73%,300 or more,27%,
030037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,,,PHOENIX,AZ,85006,MARICOPA,6022518156,9%,21%,70%,6%,16%,78%,17%,31%,52%,9%,25%,66%,24%,19%,57%,14%,21%,65%,11%,30%,59%,81%,19%,14%,27%,59%,13%,29%,58%,300 or more,28%,
030038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,,,SCOTTSDALE,AZ,85251,MARICOPA,4808824000,5%,23%,72%,6%,20%,74%,10%,30%,60%,8%,23%,69%,23%,18%,59%,8%,19%,73%,21%,33%,46%,82%,18%,10%,25%,65%,7%,20%,73%,300 or more,33%,
030043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,,,SIERRA VISTA,AZ,85635,COCHISE,5204584641,4%,19%,77%,7%,18%,75%,10%,28%,62%,6%,21%,73%,20%,17%,63%,11%,23%,66%,17%,36%,47%,78%,22%,11%,33%,56%,7%,38%,55%,300 or more,31%,There were discrepancies in the data collection process
030055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,,,KINGMAN,AZ,86409,MOHAVE,9287572101,4%,17%,79%,7%,19%,74%,8%,22%,70%,4%,20%,76%,19%,17%,64%,8%,16%,76%,11%,29%,60%,83%,17%,4%,24%,72%,2%,21%,77%,300 or more,38%,
030061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,,,SUN CITY,AZ,85351,MARICOPA,6239777211,4%,22%,74%,6%,22%,72%,6%,26%,68%,5%,28%,67%,19%,20%,61%,12%,18%,70%,19%,38%,43%,83%,17%,8%,25%,67%,4%,24%,72%,300 or more,41%,
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,,,SHOW LOW,AZ,85901,NAVAJO,9285374375,4%,23%,73%,6%,17%,77%,8%,29%,63%,7%,24%,69%,21%,22%,57%,6%,16%,78%,11%,35%,54%,82%,18%,6%,27%,67%,2%,29%,69%,300 or more,29%,
030064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",1501 NORTH CAMPBELL AVENUE,,,TUCSON,AZ,85724,PIMA,5206940111,4%,20%,76%,7%,20%,73%,9%,28%,63%,6%,25%,69%,20%,20%,60%,8%,23%,69%,16%,29%,55%,83%,17%,6%,21%,73%,3%,19%,78%,300 or more,28%,
030065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,,,MESA,AZ,85202,MARICOPA,4804123000,5%,22%,73%,6%,22%,72%,11%,29%,60%,7%,25%,68%,22%,19%,59%,10%,23%,67%,13%,37%,50%,81%,19%,8%,25%,67%,5%,27%,68%,300 or more,27%,
030067,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,,,PARKER,AZ,85344,LA PAZ,9286697300,4%,22%,74%,6%,18%,76%,6%,22%,72%,5%,24%,71%,22%,18%,60%,8%,17%,75%,10%,33%,57%,76%,24%,11%,26%,63%,6%,27%,67%,300 or more,38%,
030068,MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE,,,SAFFORD,AZ,85546,GRAHAM,9283484000,4%,17%,79%,5%,16%,79%,6%,28%,66%,5%,22%,73%,19%,16%,65%,5%,21%,74%,12%,32%,56%,86%,14%,4%,24%,72%,2%,25%,73%,300 or more,43%,
030069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,,,LAKE HAVASU CITY,AZ,86403,MOHAVE,9288558185,7%,22%,71%,8%,19%,73%,14%,29%,57%,8%,26%,66%,30%,19%,51%,13%,26%,61%,12%,35%,53%,83%,17%,13%,30%,57%,9%,31%,60%,300 or more,34%,
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,,,FORT DEFIANCE,AZ,86504,APACHE,9287298000,9%,24%,67%,8%,20%,72%,15%,28%,57%,9%,28%,63%,18%,20%,62%,12%,21%,67%,10%,29%,61%,77%,23%,14%,24%,62%,7%,40%,53%,Between 100 and 299,17%,
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,,,TUBA CITY,AZ,86045,COCONINO,9282832501,3%,18%,79%,0%,10%,90%,6%,17%,77%,2%,12%,86%,10%,10%,80%,6%,12%,82%,4%,22%,74%,85%,15%,8%,25%,67%,4%,31%,65%,300 or more,52%,
030074,SELLS INDIAN HEALTH SERVICE HOSPITAL,PO BOX 548,,,SELLS,AZ,85634,PIMA,5203837200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
030077,SAN CARLOS INDIAN HOSPITAL,223 CIBECUE CIRCLE ROAD,,,SAN CARLOS,AZ,85550,GILA,9284757347,0%,3%,97%,2%,10%,88%,1%,12%,87%,15%,33%,52%,0%,48%,52%,0%,8%,92%,1%,13%,86%,95%,5%,6%,40%,54%,13%,47%,40%,Fewer than 100,59%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
030078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,,,PHOENIX,AZ,85016,MARICOPA,6022631200,5%,20%,75%,2%,17%,81%,8%,26%,66%,5%,22%,73%,14%,18%,68%,10%,25%,65%,13%,36%,51%,85%,15%,7%,28%,65%,4%,38%,58%,300 or more,37%,
030083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,,,PHOENIX,AZ,85032,MARICOPA,6029235000,7%,20%,73%,9%,21%,70%,15%,27%,58%,9%,24%,67%,25%,19%,56%,8%,19%,73%,13%,32%,55%,78%,22%,14%,27%,59%,11%,28%,61%,300 or more,27%,
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",,,CHINLE,AZ,86503,APACHE,9286747001,12%,24%,64%,12%,22%,66%,18%,30%,52%,12%,28%,60%,27%,21%,52%,17%,20%,63%,18%,31%,51%,77%,23%,21%,32%,47%,10%,53%,37%,Between 100 and 299,13%,
030085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,,,TUCSON,AZ,85741,PIMA,5207429000,5%,22%,73%,5%,19%,76%,8%,31%,61%,6%,26%,68%,22%,19%,59%,12%,24%,64%,15%,36%,49%,86%,14%,9%,22%,69%,6%,23%,71%,300 or more,30%,
030087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,,,SCOTTSDALE,AZ,85260,MARICOPA,4803233000,4%,19%,77%,5%,18%,77%,9%,24%,67%,8%,20%,72%,20%,17%,63%,10%,22%,68%,13%,39%,48%,78%,22%,7%,19%,74%,4%,17%,79%,300 or more,42%,
